index,cb,co,bus026,bus010,bus025,bus012,bus015,bus011,bus113,bus032,bus018,bus074,bus001,bus070,bus075,bus027,bus003,bus013,bus006,bus019,bus016,bus029,bus031,bus115,bus002,bus117,bus008,bus024,bus072,bus073,bus004,bus007,bus020,bus028,bus014,bus021,bus017,bus022,bus114,bus023,bus005,bus009,bus030,bus071,bus065,bus066,bus069,bus099,bus080,bus059,bus049,bus054,bus061,bus060,bus078,bus046,bus056,bus036,bus062,bus076,bus055,bus077,bus045,bus034,bus079,bus041,bus035,bus047,bus098,bus118,bus116,bus067,bus039,bus033,bus053,bus048,bus042,bus043,bus052,bus040,bus050,bus051,bus044,bus097,bus057,bus058,bus037,bus038,bus063,bus064,bus068,bus081,bus087,bus100,bus092,bus089,bus090,bus111,bus112,bus105,bus104,bus082,bus088,bus106,bus095,bus096,bus091,bus110,bus094,bus101,bus086,bus083,bus085,bus107,bus103,bus093,bus084,bus109,bus102,bus108,ram,zone
line001,line001,basecase,0,0.01558708,-0.000985092,-0.03846474,-0.008377562,-0.01662923,-0.004977592,-0.003114617,-0.005974191,-0.001236348,0.381734473,-0.001331925,-0.001207017,-0.00277889,0.229514328,-0.014729397,-0.00767279,-0.006677439,-0.027953202,-0.003543749,-0.003684555,-0.002949634,-0.259614761,-0.03846474,0.01558708,-0.00200643,-0.001685159,-0.001390114,0.01858518,-0.019360245,-0.005525142,-0.003142602,-0.030458856,-0.004688988,-0.005253826,-0.003733664,-0.002973598,-0.002167722,0.022669642,0.01558708,0.002217747,-0.001390114,-0.000970543,-0.001046034,-0.001119838,-0.001088791,-0.001084964,-0.001037626,-0.001149816,-0.00108986,-0.001016269,-0.001018832,-0.00110503,-0.001208388,-0.00108794,-0.001928969,-0.001022212,-0.00116636,-0.001085517,-0.001107655,-0.001290358,-0.001975308,-0.001099865,-0.001608908,-0.001911333,-0.001162675,-0.001086972,-0.001187938,-0.001026943,-0.001034968,-0.001718609,-0.005317918,-0.001099219,-0.001162166,-0.001473769,-0.001746674,-0.001111761,-0.001657659,-0.0011346,-0.001116272,-0.001412904,-0.001088773,-0.001107486,-0.001104182,-0.001825399,-0.000315417,-0.001014903,-0.001003129,-0.001026943,-0.001047433,-0.001094907,-0.001090301,-0.001092304,-0.001093032,-0.001092861,-0.001090301,-0.001090301,-0.001090301,-0.001090301,-0.001097527,-0.001093803,-0.001090301,-0.001091984,-0.001092383,-0.00109264,-0.001090301,-0.001091668,-0.001091161,-0.001094907,-0.001096734,-0.001094907,-0.001090301,-0.001090301,-0.001091963,-0.001095504,-0.001090301,-0.001091924,-0.001090301,480,R1
line002,line002,basecase,0,-0.01558708,0.000985092,0.03846474,0.008377562,0.01662923,0.004977592,0.003114617,0.005974191,0.001236348,0.618265527,0.001331925,0.001207017,0.00277889,-0.229514328,0.014729397,0.00767279,0.006677439,0.027953202,0.003543749,0.003684555,0.002949634,0.259614761,0.03846474,-0.01558708,0.00200643,0.001685159,0.001390114,-0.01858518,0.019360245,0.005525142,0.003142602,0.030458856,0.004688988,0.005253826,0.003733664,0.002973598,0.002167722,-0.022669642,-0.01558708,-0.002217747,0.001390114,0.000970543,0.001046034,0.001119838,0.001088791,0.001084964,0.001037626,0.001149816,0.00108986,0.001016269,0.001018832,0.00110503,0.001208388,0.00108794,0.001928969,0.001022212,0.00116636,0.001085517,0.001107655,0.001290358,0.001975308,0.001099865,0.001608908,0.001911333,0.001162675,0.001086972,0.001187938,0.001026943,0.001034968,0.001718609,0.005317918,0.001099219,0.001162166,0.001473769,0.001746674,0.001111761,0.001657659,0.0011346,0.001116272,0.001412904,0.001088773,0.001107486,0.001104182,0.001825399,0.000315417,0.001014903,0.001003129,0.001026943,0.001047433,0.001094907,0.001090301,0.001092304,0.001093032,0.001092861,0.001090301,0.001090301,0.001090301,0.001090301,0.001097527,0.001093803,0.001090301,0.001091984,0.001092383,0.00109264,0.001090301,0.001091668,0.001091161,0.001094907,0.001096734,0.001094907,0.001090301,0.001090301,0.001091963,0.001095504,0.001090301,0.001091924,0.001090301,480,R1
line003,line003,basecase,0,-0.071410461,0.00456155,0.126286891,0.042970785,0.204366754,0.022021435,0.01405105,0.028327525,0.006383846,0.043625158,0.006776692,0.00626329,0.012537002,0.021923254,0.167207556,0.010397218,0.033330034,0.093660038,0.015860424,0.016472245,0.013307015,0.09475771,0.126286891,-0.071410461,0.009539538,0.008223577,0.007015042,0.824294908,0.054384539,0.027420032,0.014117384,0.104117343,0.023131491,0.023203251,0.018231746,0.013415087,0.010200204,-0.103800634,-0.071410461,-0.010269459,0.007015042,0.005260342,0.005640154,0.00591085,0.005769017,0.005752685,0.005597853,0.006162309,0.005860652,0.005490399,0.005503294,0.00583832,0.006457863,0.005850995,0.010207215,0.005520299,0.006093984,0.005838802,0.005849521,0.006885504,0.010431777,0.005816279,0.008569951,0.010121748,0.006214068,0.005761256,0.00618384,0.005505074,0.005584478,0.009145262,0.027436904,0.005907739,0.006224628,0.007861231,0.009248043,0.005970843,0.008825616,0.006085753,0.005993537,0.007519974,0.005768943,0.005949337,0.005932714,0.009705303,0.002204762,0.005483525,0.005424288,0.005505074,0.005592517,0.005795119,0.005775462,0.005784012,0.005787119,0.005786385,0.005775462,0.005775462,0.005775462,0.005775462,0.005806302,0.005790407,0.005775462,0.005782646,0.005784347,0.005785444,0.005775462,0.005781296,0.005779131,0.005795119,0.005802914,0.005795119,0.005775462,0.005775462,0.005782554,0.005797667,0.005775462,0.005782387,0.005775462,1360,R1
line004,line004,basecase,0,-0.035450864,0.002240469,0.087483243,0.019053718,0.037821104,0.01132091,0.007083806,0.013587552,0.002811918,0.396792658,0.003029297,0.002745209,0.006320238,0.477998349,0.033500172,0.017450802,0.015187001,0.063576064,0.008059815,0.00838006,0.006708573,0.205461323,0.087483243,-0.035450864,0.004563375,0.003832684,0.003161641,-0.04226967,0.044032458,0.012566245,0.007147456,0.06927486,0.010664516,0.011949171,0.008491752,0.006763076,0.004930212,-0.051559268,-0.035450864,-0.005043989,0.003161641,0.00220738,0.002379074,0.002546931,0.002476318,0.002467615,0.002359951,0.002615113,0.00247875,0.002311377,0.002317206,0.002513253,0.002748327,0.002474384,0.0043872,0.002324893,0.00265274,0.002468872,0.002519222,0.002934759,0.004492591,0.002501506,0.003659261,0.004347088,0.002644359,0.002472183,0.002701816,0.002335655,0.002353905,0.003908762,0.01209494,0.002500035,0.002643202,0.003351903,0.003972592,0.002528561,0.003770138,0.002580506,0.00253882,0.003213474,0.002476279,0.002518839,0.002511325,0.004151641,0.000717377,0.00230827,0.002281491,0.002335655,0.002382256,0.002490229,0.002479753,0.00248431,0.002485966,0.002485575,0.002479753,0.002479753,0.002479753,0.002479753,0.002496189,0.002487718,0.002479753,0.002483582,0.002484489,0.002485073,0.002479753,0.002482863,0.002481709,0.002490229,0.002494384,0.002490229,0.002479753,0.002479753,0.002483533,0.002491587,0.002479753,0.002483444,0.002479753,480,R1
line005,line005,basecase,0,0.064401644,-0.004070138,-0.158926017,-0.034613846,-0.068707529,-0.020566078,-0.012868763,-0.024683761,-0.005108258,-0.068179669,-0.005503158,-0.004987072,-0.01148163,-0.04435524,-0.060857928,-0.535378387,-0.027589393,-0.115495154,-0.014641825,-0.015223596,-0.012187097,-0.124313168,-0.158926017,0.064401644,-0.008290034,-0.006962627,-0.005743581,0.076788994,-0.392491356,-0.022828408,-0.012984392,-0.125847844,-0.019373643,-0.021707404,-0.015426502,-0.01228611,-0.008956446,0.093664899,0.064401644,0.009163138,-0.005743581,-0.004010026,-0.004321933,-0.004626871,-0.004498592,-0.004482781,-0.004287194,-0.004750733,-0.004503009,-0.004198952,-0.004209542,-0.004565688,-0.004992736,-0.004495078,-0.007969985,-0.004223506,-0.004819087,-0.004485065,-0.004576533,-0.005331416,-0.008161445,-0.004544349,-0.006647579,-0.007897116,-0.004803862,-0.004491079,-0.004908242,-0.004243056,-0.004276211,-0.007100834,-0.021972216,-0.004541677,-0.004801761,-0.006089218,-0.007216791,-0.004593499,-0.006849003,-0.004687864,-0.004612136,-0.005837742,-0.00449852,-0.004575838,-0.004562187,-0.007542059,-0.00130322,-0.004193307,-0.00414466,-0.004243056,-0.004327714,-0.004523863,-0.004504832,-0.00451311,-0.004516118,-0.004515408,-0.004504832,-0.004504832,-0.004504832,-0.004504832,-0.00453469,-0.004519302,-0.004504832,-0.004511787,-0.004513434,-0.004514496,-0.004504832,-0.004510481,-0.004508384,-0.004523863,-0.00453141,-0.004523863,-0.004504832,-0.004504832,-0.004511699,-0.00452633,-0.004504832,-0.004511536,-0.004504832,480,R1
line006,line006,basecase,0,0.064401644,-0.004070138,-0.158926017,-0.034613846,-0.068707529,-0.020566078,-0.012868763,-0.024683761,-0.005108258,-0.068179669,-0.005503158,-0.004987072,-0.01148163,-0.04435524,-0.060857928,0.464621613,-0.027589393,-0.115495154,-0.014641825,-0.015223596,-0.012187097,-0.124313168,-0.158926017,0.064401644,-0.008290034,-0.006962627,-0.005743581,0.076788994,-0.392491356,-0.022828408,-0.012984392,-0.125847844,-0.019373643,-0.021707404,-0.015426502,-0.01228611,-0.008956446,0.093664899,0.064401644,0.009163138,-0.005743581,-0.004010026,-0.004321933,-0.004626871,-0.004498592,-0.004482781,-0.004287194,-0.004750733,-0.004503009,-0.004198952,-0.004209542,-0.004565688,-0.004992736,-0.004495078,-0.007969985,-0.004223506,-0.004819087,-0.004485065,-0.004576533,-0.005331416,-0.008161445,-0.004544349,-0.006647579,-0.007897116,-0.004803862,-0.004491079,-0.004908242,-0.004243056,-0.004276211,-0.007100834,-0.021972216,-0.004541677,-0.004801761,-0.006089218,-0.007216791,-0.004593499,-0.006849003,-0.004687864,-0.004612136,-0.005837742,-0.00449852,-0.004575838,-0.004562187,-0.007542059,-0.00130322,-0.004193307,-0.00414466,-0.004243056,-0.004327714,-0.004523863,-0.004504832,-0.00451311,-0.004516118,-0.004515408,-0.004504832,-0.004504832,-0.004504832,-0.004504832,-0.00453469,-0.004519302,-0.004504832,-0.004511787,-0.004513434,-0.004514496,-0.004504832,-0.004510481,-0.004508384,-0.004523863,-0.00453141,-0.004523863,-0.004504832,-0.004504832,-0.004511699,-0.00452633,-0.004504832,-0.004511536,-0.004504832,480,R1
line007,line007,basecase,0,-1,-1.66E-17,-1.59E-16,-7.60E-17,-9.47E-17,-3.37E-17,-5.00E-17,-3.08E-16,1.10E-16,-6.63E-17,3.87E-16,-3.36E-17,-3.16E-17,-1.35E-16,2.91E-16,2.03E-16,-3.55E-16,2.69E-16,2.03E-17,-1.95E-16,-6.51E-17,4.30E-16,-1.59E-16,-4.38E-16,-2.64E-16,1.18E-16,-8.08E-17,1.50E-16,-6.32E-17,-7.20E-17,5.92E-17,-1.30E-16,6.02E-17,3.17E-18,1.73E-16,2.07E-16,4.35E-17,4.32E-16,-1,8.84E-17,-8.08E-17,4.05E-16,7.72E-17,4.02E-16,-3.66E-16,2.85E-18,3.16E-16,2.07E-16,6.39E-18,-2.11E-16,-6.34E-17,-5.98E-17,-4.08E-16,3.17E-16,7.39E-17,4.67E-17,4.25E-17,-3.22E-16,-3.47E-17,1.06E-16,6.63E-17,1.08E-16,5.82E-17,8.48E-17,-1.04E-16,-3.47E-16,1.50E-17,-3.94E-17,9.65E-17,-1.03E-16,-2.25E-16,-9.72E-17,-3.12E-16,-2.22E-17,-1.52E-17,3.12E-17,-4.09E-16,-2.09E-16,-3.59E-16,3.75E-17,6.41E-17,9.50E-17,5.70E-17,-3.80E-16,-4.11E-16,-4.37E-17,-6.25E-17,-3.94E-17,1.07E-16,-2.33E-16,9.85E-17,-1.60E-18,3.54E-16,-2.78E-17,-1.04E-17,1.89E-17,4.40E-17,-1.04E-17,-6.08E-17,2.05E-16,-1.04E-17,-4.33E-18,-3.31E-16,2.40E-17,-1.04E-17,-3.75E-16,4.31E-17,-2.33E-16,-5.07E-17,7.28E-17,-1.04E-17,4.40E-17,5.40E-18,1.96E-16,7.33E-17,9.07E-17,-6.49E-17,1360,R1
line008,line008,basecase,0,0.251657326,-0.016007581,-0.514870747,-0.145015135,-0.540972796,-0.078700297,-0.049822381,-0.098490148,-0.021490997,-0.557710969,-0.022938391,-0.021046824,-0.044453107,-0.568958185,-0.449809001,-0.574931661,-0.113629595,-0.378174332,-0.056417832,-0.05862046,-0.047183808,-0.531211042,-0.514870747,0.251657326,-0.03313262,-0.028277045,-0.023817844,-0.624435116,-0.552134818,-0.093684333,-0.050142673,-0.416456024,-0.079211232,-0.082982195,-0.062675416,-0.047567065,-0.035570316,-0.634115774,0.251657326,0.036038009,-0.023817844,-0.017399874,-0.018690883,-0.019739124,-0.019238723,-0.019179491,-0.018547097,-0.020465721,-0.019440371,-0.018181853,-0.018225686,-0.019490079,-0.02146923,-0.019407546,-0.034055749,-0.018283486,-0.020426456,-0.019366101,-0.019530705,-0.022903425,-0.034829975,-0.019410139,-0.028524898,-0.033761081,-0.020658127,-0.019210577,-0.020755705,-0.018281432,-0.018501634,-0.030450653,-0.092392703,-0.019600422,-0.020677317,-0.026152576,-0.030848932,-0.019814917,-0.029380691,-0.020205503,-0.019892057,-0.025037226,-0.019238455,-0.019741816,-0.019685313,-0.032325296,-0.006707494,-0.018158489,-0.017957138,-0.018281432,-0.018598579,-0.019333392,-0.0192621,-0.019293109,-0.019304377,-0.019301717,-0.0192621,-0.0192621,-0.0192621,-0.0192621,-0.019373953,-0.019316305,-0.0192621,-0.019288155,-0.019294326,-0.019298303,-0.0192621,-0.01928326,-0.019275406,-0.019333392,-0.019361667,-0.019333392,-0.0192621,-0.0192621,-0.019287823,-0.019342634,-0.0192621,-0.019287215,-0.0192621,1360,R1
line009,line009,basecase,0,-1,-1.52E-17,-1.40E-16,3.24E-17,-2.00E-16,-1.62E-17,-5.07E-17,8.33E-17,8.16E-18,2.14E-16,6.04E-17,8.63E-17,-5.81E-17,-1.21E-17,-1.39E-16,1.10E-16,3.45E-17,-1.61E-16,8.11E-17,-9.53E-17,-5.33E-17,7.64E-17,-1.40E-16,-1.79E-16,-4.39E-17,1.46E-18,-7.44E-17,7.45E-17,-1.33E-16,-3.15E-17,-6.18E-17,1.36E-16,2.09E-17,-1.10E-16,-2.77E-17,7.84E-17,1.63E-17,1.62E-16,-1.63E-16,2.25E-17,-7.44E-17,-4.42E-17,1.00E-16,1.26E-17,-5.59E-17,8.32E-17,7.84E-17,-4.39E-17,7.79E-17,-7.85E-17,1.80E-17,-8.69E-17,-4.16E-17,-7.44E-17,-3.47E-17,5.77E-17,6.71E-17,3.32E-16,-6.98E-17,-7.68E-17,1.80E-17,-2.65E-17,-8.57E-18,-4.84E-17,3.26E-18,-6.98E-17,-4.69E-17,-8.43E-17,-3.99E-17,7.64E-17,9.62E-17,1.06E-16,-7.33E-17,-3.63E-17,7.03E-17,-6.10E-17,-8.32E-18,7.01E-17,7.54E-17,-7.88E-17,-3.85E-17,-7.79E-17,-1.03E-16,6.84E-17,6.14E-17,6.42E-17,5.38E-17,-8.43E-17,-1.06E-16,7.47E-17,-5.16E-17,-2.62E-17,-2.38E-17,-8.96E-17,-1.00E-16,-8.10E-17,3.51E-17,-1.00E-16,-3.72E-17,3.84E-17,-1.00E-16,3.91E-17,3.92E-18,-8.08E-17,-1.00E-16,-1.30E-17,-5.63E-17,7.47E-17,-1.03E-16,7.05E-18,-1.00E-16,3.51E-17,8.57E-17,4.86E-17,5.43E-17,-5.71E-17,-1.34E-17,2800,R1
line010,line010,basecase,0,0.071410461,-0.00456155,-0.126286891,-0.042970785,-0.204366754,-0.022021435,-0.01405105,-0.028327525,-0.006383846,-0.043625158,-0.006776692,-0.00626329,-0.012537002,-0.021923254,-0.167207556,-0.010397218,-0.033330034,-0.093660038,-0.015860424,-0.016472245,-0.013307015,-0.09475771,-0.126286891,0.071410461,-0.009539538,-0.008223577,-0.007015042,0.175705092,-0.054384539,-0.027420032,-0.014117384,-0.104117343,-0.023131491,-0.023203251,-0.018231746,-0.013415087,-0.010200204,0.103800634,0.071410461,0.010269459,-0.007015042,-0.005260342,-0.005640154,-0.00591085,-0.005769017,-0.005752685,-0.005597853,-0.006162309,-0.005860652,-0.005490399,-0.005503294,-0.00583832,-0.006457863,-0.005850995,-0.010207215,-0.005520299,-0.006093984,-0.005838802,-0.005849521,-0.006885504,-0.010431777,-0.005816279,-0.008569951,-0.010121748,-0.006214068,-0.005761256,-0.00618384,-0.005505074,-0.005584478,-0.009145262,-0.027436904,-0.005907739,-0.006224628,-0.007861231,-0.009248043,-0.005970843,-0.008825616,-0.006085753,-0.005993537,-0.007519974,-0.005768943,-0.005949337,-0.005932714,-0.009705303,-0.002204762,-0.005483525,-0.005424288,-0.005505074,-0.005592517,-0.005795119,-0.005775462,-0.005784012,-0.005787119,-0.005786385,-0.005775462,-0.005775462,-0.005775462,-0.005775462,-0.005806302,-0.005790407,-0.005775462,-0.005782646,-0.005784347,-0.005785444,-0.005775462,-0.005781296,-0.005779131,-0.005795119,-0.005802914,-0.005795119,-0.005775462,-0.005775462,-0.005782554,-0.005797667,-0.005775462,-0.005782387,-0.005775462,480,R1
