index,cb,co,ram,bus026,bus010,bus025,bus012,bus015,bus011,bus113,bus032,bus018,bus074,bus001,bus070,bus075,bus027,bus003,bus013,bus006,bus019,bus016,bus029,bus031,bus115,bus002,bus117,bus008,bus024,bus072,bus073,bus004,bus007,bus020,bus028,bus014,bus021,bus017,bus022,bus114,bus023,bus005,bus009,bus030,bus071,bus065,bus066,bus069,bus099,bus080,bus059,bus049,bus054,bus061,bus060,bus078,bus046,bus056,bus036,bus062,bus076,bus055,bus077,bus045,bus034,bus079,bus041,bus035,bus047,bus098,bus118,bus116,bus067,bus039,bus033,bus053,bus048,bus042,bus043,bus052,bus040,bus050,bus051,bus044,bus097,bus057,bus058,bus037,bus038,bus063,bus064,bus068,bus081,bus087,bus100,bus092,bus089,bus090,bus111,bus112,bus105,bus104,bus082,bus088,bus106,bus095,bus096,bus091,bus110,bus094,bus101,bus086,bus083,bus085,bus107,bus103,bus093,bus084,bus109,bus102,bus108
0,line001,basecase,600,0.0,0.015587079502574217,-0.0009850923520344083,-0.03846473989051121,-0.008377562038976839,-0.016629229520693338,-0.004977591777725778,-0.0031146166669613205,-0.005974191419277539,-0.0012363476464560608,0.3817344731796827,-0.0013319249377673455,-0.0012070170491225106,-0.0027788898419899588,0.22951432849965894,-0.014729396787107362,-0.007672789957021769,-0.006677439226580784,-0.027953202065298867,-0.003543749357114477,-0.0036845549741924815,-0.0029496335463851673,-0.2596147614067716,-0.0384647398905114,0.015587079502574217,-0.002006430365581737,-0.0016851592505108873,-0.0013901143489154207,0.01858518038053133,-0.01936024540622954,-0.005525141858529197,-0.0031426022365569164,-0.030458855531822832,-0.004688987614532924,-0.005253826018287203,-0.0037336641555497964,-0.0029735975750721233,-0.0021677215784540235,0.022669642459190602,0.015587079502574217,0.002217747179972785,-0.0013901143489154207,-0.0009705434157634257,-0.0010460340250834723,-0.001119837906015172,-0.0010887907358907007,-0.0010849639126781765,-0.0010376262868544142,-0.0011498161691589764,-0.0010898597214737328,-0.0010162689621813744,-0.0010188320846910399,-0.0011050299646987994,-0.0012083879493665346,-0.001087940291544847,-0.001928969287022624,-0.0010222118706662755,-0.0011663597751796998,-0.0010855168325710582,-0.0011076546381696944,-0.0012903584876649136,-0.001975308049433406,-0.001099865284642911,-0.0016089084306562024,-0.0019113328923737126,-0.001162675072341794,-0.0010869723055161899,-0.0011879378795941217,-0.0010269434741728067,-0.0010349678984320203,-0.001718609343449348,-0.0053179181951295024,-0.0010992185790173422,-0.001162166377511669,-0.0014737687549463366,-0.0017466741706936588,-0.0011117609823646974,-0.0016576588173751654,-0.0011346001260046814,-0.001116271644852964,-0.0014129040704991527,-0.0010887733870026163,-0.0011074864320861002,-0.0011041824798508106,-0.0018253986949180098,-0.00031541726911568776,-0.0010149027814697839,-0.0010031289444829138,-0.001026943474172731,-0.001047433209449124,-0.0010949069539979471,-0.0010903010306826818,-0.001092304437276146,-0.0010930324256192214,-0.001092860552692086,-0.0010903010306826818,-0.0010903010306827752,-0.0010903010306826818,-0.0010903010306826239,-0.0010975274846000732,-0.0010938030169618323,-0.0010903010306826239,-0.0010919843684827624,-0.001092383006678201,-0.001092640005971126,-0.0010903010306826818,-0.0010916680815049023,-0.0010911607039640905,-0.0010949069539979471,-0.0010967337065756057,-0.0010949069539980582,-0.0010903010306826239,-0.0010903010306826818,-0.0010919628994950127,-0.001095504072000308,-0.0010903010306826818,-0.0010919236469716103,-0.0010903010306827752
1,line002,basecase,600,0.0,-0.01558707950257485,0.000985092352034398,0.03846473989051134,0.008377562038976834,0.016629229520693248,0.004977591777725792,0.003114616666961342,0.005974191419277322,0.001236347646456013,0.618265526820318,0.0013319249377672536,0.0012070170491224194,0.002778889841990053,-0.2295143284996589,0.014729396787107314,0.007672789957021594,0.00667743922658078,0.02795320206529866,0.0035437493571144232,0.00368455497419254,0.0029496335463851,0.2596147614067716,0.03846473989051134,-0.01558707950257485,0.0020064303655817806,0.0016851592505107962,0.0013901143489151464,-0.018585180380530603,0.019360245406229337,0.00552514185852914,0.003142602236556896,0.030458855531823096,0.004688987614532839,0.005253826018287196,0.003733664155549801,0.002973597575072168,0.002167721578453854,-0.02266964245919043,-0.01558707950257485,-0.00221774717997267,0.0013901143489151464,0.0009705434157634281,0.0010460340250833785,0.0011198379060152683,0.0010887907358906267,0.0010849639126785057,0.0010376262868544107,0.0011498161691588505,0.001089859721473941,0.001016268962181338,0.001018832084691004,0.001105029964698799,0.0012083879493667898,0.0010879402915446648,0.001928969287022785,0.0010222118706661805,0.0011663597751799513,0.0010855168325710732,0.0011076546381698189,0.001290358487665066,0.00197530804943364,0.0010998652846428085,0.0016089084306562353,0.001911332892373828,0.0011626750723415385,0.0010869723055163204,0.0011879378795942744,0.0010269434741728583,0.0010349678984320101,0.001718609343449375,0.005317918195129552,0.0010992185790174287,0.0011621663775116728,0.0014737687549463885,0.0017466741706938483,0.0011117609823648727,0.0016576588173751142,0.0011346001260045594,0.0011162716448530614,0.0014129040704991863,0.0010887733870028476,0.0011074864320861281,0.0011041824798508912,0.0018253986949179344,0.00031541726911544674,0.001014902781469762,0.0010031289444827577,0.0010269434741728542,0.001047433209449332,0.0010949069539981401,0.0010903010306829019,0.0010923044372760898,0.0010930324256191086,0.0010928605526920258,0.0010903010306829019,0.0010903010306829019,0.0010903010306829019,0.0010903010306828956,0.0010975274846002298,0.0010938030169619375,0.0010903010306826757,0.0010919843684829133,0.0010923830066782128,0.0010926400059712534,0.0010903010306829019,0.001091668081504979,0.0010911607039644023,0.0010949069539981401,0.0010967337065755191,0.001094906953998138,0.0010903010306826757,0.0010903010306829019,0.0010919628994953115,0.0010955040720002109,0.0010903010306829019,0.0010919236469714613,0.0010903010306829019
2,line003,basecase,1700,0.0,-0.07141046084392276,0.004561550439772959,0.12628689060027645,0.04297078492406791,0.20436675361304837,0.022021435057053267,0.014051049596275794,0.028327524891191655,0.006383846140976135,0.04362515805597966,0.006776692317127312,0.006263290171574602,0.012537001917936745,0.02192325427964459,0.1672075557826089,0.010397218089785528,0.03333003402198154,0.09366003839287042,0.015860424484647893,0.016472244768064304,0.013307015184682896,0.09475770964220326,0.12628689060027945,-0.0714104608439222,0.009539537795490606,0.008223577373230765,0.007015042291566921,0.824294908155889,0.05438453904267302,0.027420031500302665,0.014117383616790272,0.104117343474539,0.02313149120893192,0.02320325083227308,0.018231745528566844,0.013415087222120864,0.010200203640133111,-0.10380063438405271,-0.07141046084392276,-0.010269459105247706,0.007015042291566921,0.005260341647589449,0.005640154137175259,0.005910849655449584,0.005769016626740688,0.005752685076216224,0.0055978526639548715,0.00616230854645804,0.005860652381974007,0.00549039852193566,0.005503294244334175,0.005838320007390117,0.006457863093574331,0.005850995240954263,0.010207215308562462,0.005520298808705592,0.006093983506934102,0.005838802201387856,0.0058495212009178,0.00688550422276536,0.010431777082928487,0.0058162789491543795,0.008569951235575461,0.010121747767573698,0.006214067870019792,0.005761256198342264,0.006183839922118857,0.005505074023828847,0.0055844776344763985,0.009145261740298725,0.027436903718057768,0.005907739178799011,0.006224627981237032,0.007861230833336223,0.009248043032504668,0.005970843205693502,0.008825615558457381,0.006085752756484448,0.005993537497933752,0.0075199744068410145,0.005768942587719408,0.005949336854138338,0.005932713828635337,0.009705302984515198,0.002204761698346957,0.005483524918690302,0.005424287744977286,0.005505074023828847,0.005592517087783737,0.005795118518440518,0.005775462039642245,0.005784011882210411,0.0057871186832683654,0.0057863851893919654,0.005775462039642245,0.005775462039642245,0.005775462039642245,0.005775462039642199,0.005806302031644269,0.005790407299111508,0.005775462039641918,0.005782645939917746,0.005784347189092794,0.00578544397269212,0.005775462039642245,0.005781296137098886,0.005779130826218465,0.005795118518440518,0.005802914463108228,0.005795118518440518,0.005775462039641918,0.005775462039642245,0.005782554317745021,0.005797666810399378,0.005775462039642245,0.005782386801627228,0.005775462039642245
3,line004,basecase,600,0.0,-0.03545086394366697,0.0022404694181583393,0.0874832427884822,0.01905371766239829,0.03782110389112687,0.011320910299465166,0.0070838062819203575,0.013587551609219825,0.0028119181784087483,0.3967926575619606,0.0030292967803347477,0.0027452094010980968,0.006320237584376123,0.47799834911858896,0.03350017181767802,0.017450801658501915,0.01518700084095545,0.06357606394726455,0.008059814944087501,0.008380059719429265,0.006708572797059948,0.205461322974527,0.08748324278848202,-0.0354508639436668,0.004563375062720208,0.0038326840703811127,0.0031616413223145134,-0.042269669627969644,0.0440324581457937,0.01256624451449295,0.007147455961769483,0.0692748595501902,0.01066451620580333,0.011949170550342619,0.00849175241377892,0.006763075984804975,0.00493021176499652,-0.05155926806812061,-0.03545086394366697,-0.005043988742450419,0.0031616413223145134,0.002207379681227286,0.002379073635799713,0.0025469313374937574,0.0024763184299415766,0.00246761479889801,0.0023599512861649965,0.0026151131497311646,0.002478749704027137,0.002311376720861644,0.002317206222619553,0.002513252525961918,0.0027483273423410982,0.0024743842005825333,0.0043871995221725435,0.002324893123346903,0.002652739513674559,0.002468872346079214,0.0025192220176876953,0.0029347590853833995,0.004492591244930664,0.0025015061067598056,0.0036592611119739596,0.0043470877470931256,0.0026443591176574703,0.0024721826373587615,0.0027018162149024423,0.0023356545640720607,0.00235390511399667,0.00390876212550793,0.012094940195048014,0.0025000352556529075,0.00264320215485356,0.003351902812031191,0.003972592066972016,0.0025285613842661397,0.003770137772768158,0.0025805061615821363,0.002538820322262765,0.0032134736953421264,0.002476278972064482,0.0025188394539761754,0.0025113250276111274,0.004151641156754422,0.0007173771514449141,0.002308269513605459,0.002281491393108486,0.0023356545640718387,0.002382255905741213,0.0024902290034995336,0.002479753406659281,0.0024843099045302464,0.0024859656230179095,0.002485574719529261,0.002479753406659281,0.002479753406659281,0.002479753406659281,0.0024797534066593177,0.0024961890727877227,0.0024877182367031713,0.002479753406659287,0.0024835819480683295,0.002484488600814291,0.002485073113580948,0.002479753406659281,0.0024828625928731635,0.002481708626078941,0.0024902290034995336,0.0024943837238935508,0.002490229003499478,0.002479753406659287,0.002479753406659281,0.00248353311953958,0.0024915870737556656,0.002479753406659281,0.002483443844581315,0.002479753406659281
4,line005,basecase,600,0.0,0.06440164353392418,-0.004070138122618617,-0.15892601732381675,-0.03461384565520546,-0.06870752867197617,-0.020566077902761718,-0.012868763022433805,-0.02468376106788996,-0.005108257797614907,-0.0681796685234783,-0.005503157601901548,-0.004987071614289072,-0.011481629576234803,-0.04435524010778603,-0.06085792795220915,-0.5353783865014238,-0.027589392914733668,-0.11549515447995404,-0.014641824520928938,-0.015223595670369192,-0.012187096895132211,-0.1243131684934706,-0.1589260173238164,0.06440164353392427,-0.008290033624226997,-0.006962627304966313,-0.005743580685236973,0.07678899447988055,-0.3924913558646679,-0.022828408387126072,-0.012984391910892101,-0.12584784443344899,-0.01937364269145214,-0.02170740390225868,-0.015426501672837436,-0.012286109852170506,-0.00895644577634545,0.09366489934546007,0.06440164353392418,0.009163138181811884,-0.005743580685236973,-0.004010025809252653,-0.00432193281600071,-0.004626870712185871,-0.004498592109207589,-0.0044827806992286945,-0.004287194290399011,-0.004750732877412326,-0.004503008871722321,-0.004198951537149148,-0.004209541673818046,-0.004565688259245882,-0.004992735807432765,-0.004495078300633088,-0.007969985165611553,-0.004223506045498967,-0.004819086632683926,-0.004485065216339921,-0.004576532708024429,-0.005331416147576087,-0.00816144453797771,-0.004544349182616805,-0.006647579311617312,-0.007897116300009643,-0.004803862426079756,-0.004491078841263531,-0.004908241588774544,-0.004243055765657924,-0.004276210540458973,-0.007100834142317513,-0.021972215634669855,-0.00454167716794242,-0.0048017606350992436,-0.006089218316479034,-0.007216790502182118,-0.004593499023941866,-0.0068490028706041295,-0.0046878642568308,-0.004612135874907044,-0.00583774171940918,-0.004498520428242279,-0.004575837725475632,-0.004562186678525448,-0.00754205918036043,-0.0013032197934623392,-0.00419330684385165,-0.004144660498490547,-0.004243055765657924,-0.00432771387156929,-0.004523862686563774,-0.0045048322433401755,-0.004513109783546576,-0.004516117636669734,-0.004515407503704385,-0.0045048322433401755,-0.0045048322433399535,-0.0045048322433401755,-0.004504832243339805,-0.004534690018116057,-0.004519301513993241,-0.004504832243339966,-0.0045117873448988184,-0.004513434411301803,-0.004514496263642019,-0.0045048322433401755,-0.004510480531701765,-0.004508384183408382,-0.004523862686563774,-0.004531410339625464,-0.004523862686563774,-0.004504832243339966,-0.0045048322433401755,-0.004511698640784262,-0.004526329818441659,-0.0045048322433401755,-0.004511536459855564,-0.0045048322433399535
5,line006,basecase,600,0.0,0.06440164353392382,-0.0040701381226188275,-0.15892601732381834,-0.03461384565520572,-0.06870752867197663,-0.02056607790276217,-0.012868763022434067,-0.024683761067889866,-0.0051082577976152704,-0.0681796685234792,-0.005503157601901662,-0.004987071614289186,-0.011481629576235244,-0.044355240107785424,-0.060857927952210115,0.4646216134985756,-0.027589392914733724,-0.11549515447995395,-0.014641824520929164,-0.015223595670369827,-0.012187096895132556,-0.12431316849347196,-0.15892601732381834,0.06440164353392383,-0.008290033624226874,-0.006962627304966279,-0.005743580685237488,0.07678899447988113,-0.39249135586466943,-0.022828408387126933,-0.012984391910892311,-0.1258478444334484,-0.0193736426914524,-0.021707403902258705,-0.015426501672837576,-0.012286109852170544,-0.008956445776345724,0.09366489934545862,0.06440164353392382,0.009163138181811768,-0.005743580685237488,-0.0040100258092525334,-0.004321932816001334,-0.004626870712186324,-0.004498592109207619,-0.0044827806992291915,-0.00428719429039957,-0.004750732877412588,-0.004503008871723084,-0.00419895153714908,-0.004209541673817986,-0.0045656882592463345,-0.004992735807432995,-0.004495078300633476,-0.007969985165611902,-0.00422350604549959,-0.004819086632683652,-0.004485065216339578,-0.004576532708024388,-0.0053314161475758485,-0.008161444537977751,-0.0045443491826172655,-0.006647579311617647,-0.007897116300009503,-0.00480386242607983,-0.004491078841263733,-0.00490824158877486,-0.00424305576565812,-0.0042762105404591305,-0.007100834142317988,-0.021972215634669966,-0.004541677167942676,-0.00480176063509895,-0.006089218316478912,-0.007216790502182262,-0.004593499023942351,-0.006849002870605123,-0.004687864256831108,-0.004612135874907033,-0.005837741719409568,-0.004498520428242825,-0.004575837725476679,-0.00456218667852586,-0.0075420591803609435,-0.0013032197934625847,-0.004193306843852098,-0.004144660498490199,-0.00424305576565812,-0.0043277138715692,-0.0045238626865637885,-0.004504832243339977,-0.004513109783546618,-0.0045161176366697526,-0.004515407503705133,-0.004504832243339977,-0.004504832243340421,-0.004504832243339977,-0.004504832243340404,-0.004534690018116413,-0.004519301513993049,-0.004504832243339964,-0.004511787344898971,-0.004513434411301698,-0.00451449626364229,-0.004504832243339977,-0.004510480531701861,-0.004508384183408751,-0.0045238626865637885,-0.004531410339625915,-0.0045238626865637885,-0.004504832243339964,-0.004504832243339977,-0.004511698640784406,-0.004526329818441306,-0.004504832243339977,-0.004511536459855467,-0.004504832243340421
6,line007,basecase,1700,0.0,-1.000000000000001,-8.678709904041767e-17,-4.0668178314959324e-16,-6.331273952127807e-16,-4.50914060978476e-16,-2.3052865522533296e-16,-3.8511091928813674e-16,-1.9893066778585375e-16,-2.6288430352356887e-16,-7.283207571527683e-16,-4.006812694414794e-16,-2.9723933256219517e-16,-2.284139654997469e-16,-6.877527392561323e-16,-4.0072321260067516e-16,-7.946069477272709e-16,-3.3008622742543666e-16,-1.310509984844852e-15,-3.985887662945685e-16,-1.0110951401844105e-16,-4.002420479112123e-16,-7.058311973018995e-16,-4.3597670700946394e-16,-5.467434719882541e-16,-1.9867084539941357e-16,-4.722672055919194e-16,1.037440310169307e-16,-5.706938514468144e-16,-4.487250567416228e-16,-5.454286551036405e-16,-1.9208989134470734e-16,-5.744887093620155e-16,-6.644973737369305e-16,-6.377727408613543e-16,-1.6237304529442858e-16,-1.9691723173641046e-16,-1.260823109369865e-16,-7.322158835885859e-16,-1.000000000000001,-2.467303399355112e-16,1.037440310169307e-16,-6.34105596914169e-16,-2.9135527947616187e-16,2.97296916969785e-17,-2.986650414568551e-16,-2.315049021171806e-16,-3.877485427599574e-16,-3.2891908875656075e-16,-2.238648470341005e-16,-4.1557981314715563e-16,-4.0675870843096933e-16,-3.7798457809823774e-16,-2.4840091236295207e-16,-7.174732383173386e-16,-6.255971565139601e-16,-6.31756510309622e-16,-6.652464046467236e-16,-3.8507098718157894e-16,-3.276013488741115e-16,-4.012624770085286e-16,-5.494329266263988e-16,-5.997106176837949e-16,-3.3550509546337926e-16,-1.9583581648294393e-16,-1.9552577519948085e-16,-6.6942587466244895e-16,-4.162572860283985e-16,-4.1203475701234023e-16,-2.4679958432607353e-16,-5.264568186137097e-16,-2.2945002929201746e-16,-2.436790795772618e-16,-7.102640499377882e-16,-2.2312119472092147e-16,-5.764820819699516e-16,2.2995305068674913e-17,-3.8763193944498497e-16,-2.1678722728210708e-16,-3.3784197838427355e-16,-3.854649980685528e-16,-2.5811993545860335e-16,-3.0277433892151867e-16,-2.2775681667815116e-16,-4.1344268667607884e-16,-3.603027312997963e-16,-3.57753396541968e-16,-6.571937793423998e-16,-4.1203475701234023e-16,-2.1082285367145137e-16,-6.13896382754811e-16,-1.985257972868812e-16,-3.824344315797878e-16,-6.635487445827639e-16,-5.762093630283026e-16,-1.985257972868812e-16,-5.043502451402132e-16,-1.985257972868812e-16,-2.5301071635531117e-16,-3.5786999367834977e-16,-3.142823570082913e-16,-3.3679055928361184e-16,-5.527198368860333e-16,-6.282362573450607e-16,-2.185886255223428e-16,-1.985257972868812e-16,-3.6580680149830255e-16,-3.1873114350992295e-17,-6.13896382754811e-16,-2.6397885422043623e-16,-6.13896382754811e-16,-3.3679055928361184e-16,-1.985257972868812e-16,-3.7542999589188305e-16,-3.5269778569347214e-16,-1.985257972868812e-16,-3.4464111239846444e-16,-5.043502451402132e-16
7,line008,basecase,1700,0.0,0.25165732585225226,-0.016007580895003586,-0.5148707469045029,-0.14501513514005315,-0.5409727958889134,-0.07870029692028514,-0.04982238118805087,-0.09849014784903198,-0.021490997288614807,-0.5577109685334738,-0.022938390630580962,-0.021046823670445674,-0.04445310672164589,-0.5689581846143923,-0.44980900061098633,-0.574931661454021,-0.113629595112093,-0.37817433230109576,-0.056417832159801604,-0.058620459590296145,-0.04718380842350328,-0.5312110419654604,-0.5148707469045026,0.2516573258522521,-0.03313261967800426,-0.02827704521070179,-0.02381784416930123,-0.6244351157226613,-0.5521348179753722,-0.09368433276839253,-0.050142673045129246,-0.4164560244666161,-0.07921123214463063,-0.08298219477023779,-0.06267541635540887,-0.04756706480271142,-0.03557031624730307,-0.634115774331285,0.25165732585225226,0.03603800934477134,-0.02381784416930123,-0.01739987370261418,-0.01869088250470053,-0.019739124381747717,-0.019238723303737253,-0.019179490547244812,-0.018547096884778357,-0.020465721292033424,-0.019440371220010435,-0.01818185285786813,-0.018225686306168786,-0.019490079123496932,-0.021469230177728064,-0.019407545932792567,-0.0340557488437305,-0.018283485991221957,-0.02042645560142407,-0.019366100951823128,-0.01953070463347076,-0.022903424532323052,-0.03482997480758742,-0.01941013860387105,-0.028524898050187014,-0.033761080753008765,-0.0206581271125846,-0.01921057707445229,-0.02075570460586077,-0.018281432206191727,-0.018501634238713597,-0.030450652677040235,-0.09239270276584993,-0.019600422484334662,-0.02067731711135526,-0.026152576351638243,-0.030848932112448456,-0.01981491741644099,-0.029380691136997233,-0.020205502891068976,-0.019892056878262968,-0.02503722552477961,-0.019238454772268404,-0.01974181584679727,-0.019685313038622476,-0.032325296036454586,-0.006707493587522243,-0.01815848900718768,-0.017957137775275762,-0.018281432206191727,-0.018598578683277016,-0.01933339202442437,-0.01926210011491656,-0.01929310946348601,-0.01930437749282965,-0.01930171719036109,-0.01926210011491656,-0.01926210011491656,-0.01926210011491656,-0.019262100114916178,-0.019373953409788085,-0.019316304944616784,-0.019262100114916306,-0.019288155339438715,-0.019294325585058815,-0.01929830349981673,-0.01926210011491656,-0.019283259751506,-0.019275406404577946,-0.01933339202442437,-0.019361667067352317,-0.01933339202442437,-0.019262100114916306,-0.01926210011491656,-0.019287823035790415,-0.019342634402046362,-0.01926210011491656,-0.019287215473057426,-0.01926210011491656
8,line009,basecase,3500,0.0,-0.9999999999999999,-1.540712474028945e-17,1.7926004638716641e-16,-4.415661210863948e-17,-1.4366319097655978e-16,-5.554541430347159e-17,-3.328760794146878e-17,-8.696058007698102e-18,3.5365613913614654e-17,1.2186561539715522e-16,9.678127545755632e-17,-5.70183854855204e-17,6.392689234358328e-18,1.6941510435420611e-16,1.5967038621409906e-16,-1.5049956378057384e-16,1.0597727260544408e-17,1.1672604607425421e-16,-3.439935062925888e-17,-5.822100616252337e-17,-4.5970353150245197e-17,-4.3480316930454566e-17,1.6011693658082611e-16,5.85431915521836e-17,3.104603666686285e-17,1.0612573572603688e-16,1.1020400183912454e-16,-3.560259492385407e-17,-9.148813107920429e-17,-8.171250923969866e-18,1.0951326858415918e-16,9.664696593031348e-17,-3.7382786739735814e-18,8.713671654510515e-17,1.5777650390182201e-18,-5.758422851797007e-17,1.6072421172956852e-17,5.4543947852256247e-17,6.239042877338335e-17,-6.467004569310884e-17,1.1020400183912454e-16,6.972698600057165e-18,5.521095080540543e-17,5.2727918703620255e-17,8.273503680145321e-17,-2.923510463934182e-17,8.171352796058231e-17,4.711509484286025e-17,1.0082844009717651e-16,5.985282280464286e-17,8.872896880928872e-17,8.8580732670856e-17,6.927251736085793e-17,1.0291489490352619e-16,-1.046577246098555e-16,-4.501808004491221e-17,-7.219883312192057e-17,-2.3005552170804267e-18,-4.588772242807054e-19,3.6824428595520244e-17,1.0248346019144565e-16,6.264961532824434e-17,6.861941257960314e-17,-1.2475987186157004e-17,9.284825910130001e-17,-1.7793509379979732e-17,-5.303589384033953e-17,-3.7438960843623e-17,3.0961483998471556e-17,-8.385338686200426e-17,5.757150459401361e-17,6.165089104285106e-17,8.556466510777886e-17,1.7145901120611568e-17,6.151892569509557e-17,-3.788591364237813e-17,5.1365347944161806e-17,9.333446944992691e-17,-1.043402463320117e-16,-2.9380261284169854e-17,1.3299046544522662e-17,8.037036042961907e-17,6.56248933508901e-18,-1.5172440232030678e-18,-7.657083798034719e-17,-6.801300844921478e-17,1.0531211734160372e-16,-3.7438960843623e-17,7.446390713304865e-17,8.76989576633522e-17,-1.0586655910733487e-16,-1.2993188678384602e-17,8.495156171560034e-18,5.885188237956541e-17,-1.0586655910733487e-16,-3.8232727401104535e-17,-1.0586655910733487e-16,-1.9089617594764234e-17,-9.200045998512379e-17,-1.614124765455888e-17,4.85442141114661e-17,-3.444370143029948e-17,-5.048190076344409e-17,7.611950948776997e-20,-1.0586655910733487e-16,8.709223589297949e-17,-1.1061502526666819e-16,8.76989576633522e-17,-3.0407618398816943e-18,8.76989576633522e-17,4.85442141114661e-17,-1.0586655910733487e-16,9.897225203318722e-17,-2.5228357730669898e-17,-1.0586655910733487e-16,4.291439390457916e-17,-3.8232727401104535e-17
9,line010,basecase,600,0.0,0.07141046084392348,-0.0045615504397726455,-0.12628689060027706,-0.04297078492406478,-0.20436675361305148,-0.022021435057052532,-0.014051049596275822,-0.028327524891192297,-0.006383846140975583,-0.04362515805597913,-0.006776692317126725,-0.006263290171574805,-0.012537001917937213,-0.021923254279643475,-0.1672075557826102,-0.010397218089786464,-0.03333003402198009,-0.09366003839287028,-0.01586042448464794,-0.016472244768063672,-0.013307015184683092,-0.09475770964220412,-0.12628689060027673,0.07141046084392343,-0.009539537795489323,-0.008223577373231688,-0.007015042291566134,0.1757050918441109,-0.05438453904267334,-0.027420031500302727,-0.014117383616790307,-0.10411734347454056,-0.023131491208931612,-0.023203250832271108,-0.018231745528566587,-0.013415087222121097,-0.010200203640133137,0.1038006343840551,0.07141046084392348,0.0102694591052475,-0.007015042291566134,-0.005260341647589061,-0.005640154137175476,-0.005910849655448678,-0.005769016626740753,-0.005752685076216058,-0.005597852663954741,-0.006162308546457563,-0.005860652381973437,-0.005490398521935641,-0.005503294244334585,-0.005838320007388812,-0.006457863093574359,-0.005850995240953684,-0.010207215308563174,-0.005520298808704414,-0.006093983506934735,-0.005838802201388588,-0.005849521200917982,-0.006885504222765431,-0.010431777082928783,-0.0058162789491545295,-0.008569951235575498,-0.01012174776757299,-0.00621406787001874,-0.005761256198341355,-0.006183839922119543,-0.005505074023828443,-0.005584477634476168,-0.009145261740297613,-0.027436903718058497,-0.0059077391787994045,-0.006224627981235788,-0.007861230833337732,-0.00924804303250478,-0.005970843205693222,-0.00882561555845696,-0.006085752756484113,-0.005993537497933927,-0.0075199744068414455,-0.005768942587720536,-0.005949336854137671,-0.005932713828634967,-0.009705302984514377,-0.0022047616983463655,-0.005483524918688876,-0.005424287744976219,-0.005505074023828443,-0.0055925170877833014,-0.0057951185184395735,-0.005775462039641787,-0.005784011882210042,-0.005787118683268082,-0.00578638518939163,-0.005775462039641787,-0.005775462039641787,-0.005775462039641787,-0.00577546203964186,-0.0058063020316448475,-0.005790407299112204,-0.005775462039641836,-0.005782645939917791,-0.005784347189092463,-0.005785443972691579,-0.005775462039641787,-0.0057812961370992755,-0.005779130826218404,-0.0057951185184395735,-0.005802914463107672,-0.0057951185184394625,-0.005775462039641836,-0.005775462039641787,-0.005782554317745455,-0.00579766681039877,-0.005775462039641787,-0.005782386801626618,-0.005775462039641787
